,,,,
,DATASET,,,
,,,,
,C061,GRASS,su,jukut
,C061,GRASS,mel,rumput
,C062,ROPE,id,tali
,C062,ROPE,su,tambang
,C062,ROPE,mel,tali
,C063,SKIN,id,kulit
,C063,SKIN,su,kulit
,C063,SKIN,mel,kulit
,C064,MEAT,id,daging
,C064,MEAT,su,daging
,C064,MEAT,mel,daging
,C065,BLOOD,id,darah
,C065,BLOOD,su,getih
,C065,BLOOD,mel,dareh
,C066,BONE,id,tulang
,C066,BONE,su,tulang
,C066,BONE,mel,tulang
,C067,FAT_NOUN,id,lemak
,C067,FAT_NOUN,su,lemak
,C067,FAT_NOUN,mel,lemak
,C068,EGG,id,telur
,C068,EGG,su,endog
,C068,EGG,mel,telo
,C069,HORN,id,tanduk
,C069,HORN,su,tanduk
,C069,HORN,mel,tanduk
,C070,TAIL,id,ekor
,C070,TAIL,su,buntut
,C070,TAIL,mel,ekor
,C071,FEATHER,id,bulu
,C071,FEATHER,su,bulu
,C071,FEATHER,mel,bulu
,C072,HAIR,id,rambut
,C072,HAIR,su,buuk
,C072,HAIR,mel,rambut
,C073,HEAD,id,kepala
,C073,HEAD,su,buuk
,C073,HEAD,mel,hulu
,C074,EAR,id,telinga
,C074,EAR,su,ceuli
,C074,EAR,mel,telinga
,C075,EYE,id,mata
,C075,EYE,su,panon
,C075,EYE,mel,mate
,C076,NOSE,id,hidung
,C076,NOSE,su,irung
,C076,NOSE,mel,hidung
,C077,MOUTH,id,mulut
,C077,MOUTH,su,sungut
,C077,MOUTH,mel,mulot
,C078,TOOTH,id,gigi
,C078,TOOTH,su,huntu
,C078,TOOTH,mel,gigi
,C079,TONGUE,id,lidah
,C079,TONGUE,su,létah
,C079,TONGUE,mel,lidah
,C080,FINGERNAIL,id,kuku
,C080,FINGERNAIL,su,kuku
,C080,FINGERNAIL,mel,kuku
,C081,FOOT,id,kaki
,C081,FOOT,su,suku
,C081,FOOT,mel,kaki
,C082,LEG,id,tungkai
,C082,LEG,su,dampal_suku
,C082,LEG,mel,tapak_kaki
,C083,KNEE,id,lutut
,C083,KNEE,su,tuur
,C083,KNEE,mel,lutut
,C084,HAND,id,tangan
,C084,HAND,su,leungeun
,C084,HAND,mel,tangan
,C085,WING,id,sayap
,C085,WING,su,jangjang
,C085,WING,mel,sayap
,C086,BELLY,id,perut
,C086,BELLY,su,beuteung
,C086,BELLY,mel,perut
,C087,GUTS,id,usus
,C087,GUTS,su,peujit
,C087,GUTS,mel,usus
,C088,NECK,id,leher
,C088,NECK,su,beuheung
,C088,NECK,mel,leher
,C089,BACK,id,punggung
,C089,BACK,su,tonggong
,C089,BACK,mel,belakang_badan
,C090,BREAST,id,payudara
,C090,BREAST,su,susu
,C090,BREAST,mel,susu
,C091,HEART,id,jantung
,C091,HEART,su,jajantung
,C091,HEART,mel,hati
,C092,LIVER,id,hati
,C092,LIVER,su,haté
,C092,LIVER,mel,hati
,C093,DRINK,id,minum
,C093,DRINK,su,inum
,C093,DRINK,mel,minum
,C094,EAT,id,makan
,C094,EAT,su,dahar
,C094,EAT,mel,makan
,C095,BITE,id,gigit
,C095,BITE,su,gégél
,C095,BITE,mel,keket
,C096,SUCK,id,isap
,C096,SUCK,su,nyoco
,C096,SUCK,mel,isap
,C097,SPIT,id,ludah
,C097,SPIT,su,ciduh
,C097,SPIT,mel,ludah
,C098,VOMIT,id,muntah
,C098,VOMIT,su,utah
,C098,VOMIT,mel,muntah
,C099,BLOW,id,tiup
,C099,BLOW,su,tiup
,C099,BLOW,mel,tiup
,C100,BREATHE,id,napas
,C100,BREATHE,su,rénghap
,C100,BREATHE,mel,nafas
,C101,LAUGH,id,tawa
,C101,LAUGH,su,seuri
,C101,LAUGH,mel,gelak
,C102,SEE,id,lihat
,C102,SEE,su,tempo
,C102,SEE,mel,tengok
,C103,HEAR,id,dengar
,C103,HEAR,su,déngé
,C103,HEAR,mel,dengar
,C104,KNOW,id,tahu
,C104,KNOW,su,nyaho
,C104,KNOW,mel,reti
,C105,THINK,id,pikir
,C105,THINK,su,mikir
,C105,THINK,mel,fikir
,C106,SMELL,id,cium
,C106,SMELL,su,ambeu
,C106,SMELL,mel,cium
,C107,FEAR,id,takut
,C107,FEAR,su,sieun
